Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL
98241793,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,3,150.00,No,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615517940,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,3.5,150.00,No,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615517971,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,4,150.00,No,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615513607,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,4.5,150.00,No,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615513638,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,5,150.00,No,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615513676,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,5.5,150.00,No,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615513621,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,6,150.00,No,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615513584,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,6.5,150.00,No,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615517988,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,7,150.00,Yes,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615517926,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,7.5,150.00,No,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615517889,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,8,150.00,Yes,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615513652,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,8.5,150.00,Yes,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615513614,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,9,150.00,Yes,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
192615517964,Mens Footwear - Sneakers,Sneakers,adidas ZX Torison - Tech Ink / Core Black / Footwear White,9.5,150.00,Yes,https://kith.com/products/adidas-zx-torison-tech-ink-core-black-footwear-white,https://cdn.shopify.com/s/files/1/0094/2252/products/AdidasZXTorsion-EE4796.jpg?v=1573253181
