name,price,description,images,referenceAlbum
103000115 M-XXL 耐克开衫卫衣,0,,"https://photo.yupoo.com/jiahuida/458770d6/small.jpeg, https://photo.yupoo.com/jiahuida/f41dc1c3/small.jpeg, https://photo.yupoo.com/jiahuida/c716a487/small.jpeg, https://photo.yupoo.com/jiahuida/188ed9b5/small.jpeg, https://photo.yupoo.com/jiahuida/d90911d5/small.jpeg, https://photo.yupoo.com/jiahuida/8c8cc2c5/small.jpeg, https://photo.yupoo.com/jiahuida/81fe2ea7/small.jpeg, https://photo.yupoo.com/jiahuida/5f763540/small.jpeg, https://photo.yupoo.com/jiahuida/487cf4b9/small.jpeg, https://photo.yupoo.com/jiahuida/0335f7f4/small.jpeg",https://jiahuida.x.yupoo.com/albums/74157554?uid=1
331840110 男士秋冬运动休闲卫裤,0,"丰富你的日常户外运动选择
            各种体型轻松驾驭
            重工刺绣小标
            简单精致松紧腰围
            收口裤脚版型，修身显瘦
            细节各方面都一丝不苟！
            品质细节非常的到位！
            衣柜里必不可少的一条裤子
            上身效果特别棒！
            给你柔软舒适的体验
            经典百搭的款式！
            
            尺码：L—3XL",,https://jiahuida.x.yupoo.com/albums/74323963?uid=1
331830450 羊绒双面尼大衣,0,"复古双排扣设计尽显英伦绅士风度！高端货，绝对的自留款！！
            颜色：黑色 藏青色
            尺码：m-xxxl模特180 140上身L码供参考！
            M：衣长82  肩宽43.8  胸围102  袖长61
            L：衣长84  肩宽45  胸围106  袖长62.5
            XL：衣长86  肩宽46.2  胸围110  袖长64
            XXL：衣长88  肩宽47.4  胸围114  袖长65.5
            XXXL：衣长89  肩宽48.6  胸围118  袖长66","https://photo.yupoo.com/jiahuida/2dcbfc20/small.png, https://photo.yupoo.com/jiahuida/2930d775/small.jpeg, https://photo.yupoo.com/jiahuida/51b247e0/small.jpeg, https://photo.yupoo.com/jiahuida/a2a55145/small.jpeg, https://photo.yupoo.com/jiahuida/c0eb1ca8/small.jpeg, https://photo.yupoo.com/jiahuida/dd755a62/small.jpeg, https://photo.yupoo.com/jiahuida/2f57d701/small.jpeg, https://photo.yupoo.com/jiahuida/07720a6d/small.jpeg, https://photo.yupoo.com/jiahuida/aa7a4a15/small.jpeg, https://photo.yupoo.com/jiahuida/bd2ea348/small.jpeg",https://jiahuida.x.yupoo.com/albums/74323957?uid=1
330440460 反光情侣长款羽绒服,0,"经过一百二十度高温水洗工艺漂洗以达到去味、杀菌的效果！简便连帽采用可固定抽绳的锁扣可轻松调节连帽，隐形内袖口拉绒面料保暖性巨顶，侧摆开叉添加按扣可以无负担穿着，后背反光经典大LOGO巨潮！好货看细节，不需要太多夸张描述！整个冬季仅需一件这样的羽绒服便可解决保暖需求！男女同款 
            颜色：黑色 黑色
            尺码：XS-2XL","https://photo.yupoo.com/jiahuida/2b6be43f/small.jpeg, https://photo.yupoo.com/jiahuida/26771faa/small.jpeg, https://photo.yupoo.com/jiahuida/418ac9be/small.jpeg, https://photo.yupoo.com/jiahuida/d91c27b7/small.jpeg, https://photo.yupoo.com/jiahuida/25f0e919/small.jpeg, https://photo.yupoo.com/jiahuida/a3a290da/small.jpeg, https://photo.yupoo.com/jiahuida/d8d94722/small.jpeg, https://photo.yupoo.com/jiahuida/06078c4d/small.jpeg, https://photo.yupoo.com/jiahuida/3175e5f6/small.jpeg",https://jiahuida.x.yupoo.com/albums/74311577?uid=1
330430125 后背大字母加绒加厚连帽卫衣,0,"如果觉得前面的小L0G0还不够满足，
            那么背后的超大loG0一定会让你心满意足💕
            它占据了整个后背的位置，视觉效果酷炫夸张！
            回头率爆表 蓝
            尺码表
            AD加绒卫衣尺码表
            M码   肩宽57  袖长60  胸围116  衣长60
            L码   肩宽59 袖长62 胸围118 衣长62
            Xl码   肩宽60 袖长64 胸围120 衣长64","https://photo.yupoo.com/jiahuida/ace92c5e/small.png, https://photo.yupoo.com/jiahuida/24042810/small.jpeg, https://photo.yupoo.com/jiahuida/df438c51/small.jpeg, https://photo.yupoo.com/jiahuida/6ebbf48f/small.jpeg, https://photo.yupoo.com/jiahuida/dae4a8e9/small.jpeg, https://photo.yupoo.com/jiahuida/7524cab0/small.jpeg, https://photo.yupoo.com/jiahuida/c7db9971/small.jpeg, https://photo.yupoo.com/jiahuida/d7794e9c/small.jpeg, https://photo.yupoo.com/jiahuida/00a8664b/small.jpeg, https://photo.yupoo.com/jiahuida/e07f1c96/small.jpeg",https://jiahuida.x.yupoo.com/albums/74311574?uid=1
330420125 帽衫 情侣款,0,"袖为经典罗盘元素logo!做工细节不必多说哈!详情参考细节图!面料手感柔软，版型宽松，上身舒适!
            颜色:黑
            尺码:S—XL
            尺码表
            S肩宽47，胸围106，衣长69，袖长65
            M肩宽49，胸围110，衣长71，袖长67
            L肩宽51，胸围114，衣长73，袖长69
            XL肩宽53，胸围118，衣长75，袖长71 
            手工平铺测量，存在1-2CM误差","https://photo.yupoo.com/jiahuida/8ae1c846/small.png, https://photo.yupoo.com/jiahuida/18685c9b/small.jpeg, https://photo.yupoo.com/jiahuida/ecadaddb/small.jpeg, https://photo.yupoo.com/jiahuida/42c02d45/small.jpeg, https://photo.yupoo.com/jiahuida/c91ac1c5/small.jpeg, https://photo.yupoo.com/jiahuida/d1e8b763/small.jpeg, https://photo.yupoo.com/jiahuida/b21cfd68/small.jpeg, https://photo.yupoo.com/jiahuida/dd1f7c53/small.jpeg, https://photo.yupoo.com/jiahuida/4f8e1094/small.jpeg, https://photo.yupoo.com/jiahuida/4ae31d5b/small.jpeg, https://photo.yupoo.com/jiahuida/fd45f718/small.jpeg, https://photo.yupoo.com/jiahuida/f40ba89f/small.jpeg, https://photo.yupoo.com/jiahuida/b5dbfb40/small.jpeg, https://photo.yupoo.com/jiahuida/f8f7bf40/small.jpeg, https://photo.yupoo.com/jiahuida/0ad63c54/small.jpeg, https://photo.yupoo.com/jiahuida/7902991d/small.jpeg, https://photo.yupoo.com/jiahuida/dbb0cee1/small.jpeg, https://photo.yupoo.com/jiahuida/9788714b/small.jpeg, https://photo.yupoo.com/jiahuida/b20ac4b5/small.jpeg, https://photo.yupoo.com/jiahuida/817cdb36/small.jpeg, https://photo.yupoo.com/jiahuida/c35abeec/small.jpeg, https://photo.yupoo.com/jiahuida/ffce0e49/small.jpeg, https://photo.yupoo.com/jiahuida/cb452c35/small.jpeg, https://photo.yupoo.com/jiahuida/58ea0222/small.jpeg, https://photo.yupoo.com/jiahuida/51e737a1/small.jpeg, https://photo.yupoo.com/jiahuida/8092f0e9/small.jpeg, https://photo.yupoo.com/jiahuida/2d1050c0/small.jpeg, https://photo.yupoo.com/jiahuida/6db8d60c/small.jpeg",https://jiahuida.x.yupoo.com/albums/74311567?uid=1
330410340 秋冬儿童长款羽绒服（中大童）,0,"是丝毫没有累赘400D防风防雨面料加上防风门襟的搭配，充分解决了一款羽绒服如何轻松过冬！整衣设计风格经典，用料中规中矩，充绒量也是没话说，
            绝对是这个冬天孩子们衣柜必不可少的一款长款羽绒服
            颜色：黑色 米色
            尺码：130-160
            130-胸围102 衣长74  袖长54  肩宽43.5
            140-胸围104 衣长79  袖长58  肩宽45
            150-胸围108 衣长84  袖长62  肩宽46.5
            160-胸围110 衣长89  袖长66  肩宽 48","https://photo.yupoo.com/jiahuida/435bc9b0/small.png, https://photo.yupoo.com/jiahuida/abf6a3a3/small.jpeg, https://photo.yupoo.com/jiahuida/1f377da8/small.jpeg, https://photo.yupoo.com/jiahuida/147dc14c/small.jpeg, https://photo.yupoo.com/jiahuida/28d325e4/small.jpeg, https://photo.yupoo.com/jiahuida/d4afe9c3/small.jpeg, https://photo.yupoo.com/jiahuida/5ebe696f/small.jpeg, https://photo.yupoo.com/jiahuida/840d1d15/small.jpeg",https://jiahuida.x.yupoo.com/albums/74311561?uid=1
330400115 秋冬季加绒运动休闲裤,0,"打破以往笨重厚实的感觉。不但保暖舒适，而且没有一点臃肿的感觉！做工版型非常到位，走线精准无误。裤型非常棒上身超级显瘦有型。裤脚背后印花精准到位，非常nice，老铁们切记不要错过，
            颜色 黑色 
            尺码LXl2Xl 3Xl 4Xl
            L腰围72 臀围102 裤长100
            Xl腰围76臀围106 裤长102
            2Xl 腰围80 臀围110裤长104
            3Xl 腰围84 臀围114 裤长106
            4Xl腰围88臀围118裤长110","https://photo.yupoo.com/jiahuida/1c51f191/small.png, https://photo.yupoo.com/jiahuida/bd18f5d4/small.jpeg, https://photo.yupoo.com/jiahuida/6d430f03/small.jpeg, https://photo.yupoo.com/jiahuida/06325f79/small.jpeg, https://photo.yupoo.com/jiahuida/104deec9/small.jpeg, https://photo.yupoo.com/jiahuida/c75b73e8/small.jpeg, https://photo.yupoo.com/jiahuida/65490414/small.jpeg, https://photo.yupoo.com/jiahuida/3eec3916/small.jpeg, https://photo.yupoo.com/jiahuida/7514865d/small.jpeg, https://photo.yupoo.com/jiahuida/a1f0875b/small.jpeg",https://jiahuida.x.yupoo.com/albums/74311552?uid=1
330390145 男士水貂绒半拉链连帽卫衣,0,"内里水貂绒，非常厚实保暖，立体剪裁，显瘦不臃肿，兜部全部采用防水拉链，做工复杂，走线整齐，大厂出货，天凉了单穿打底都ok，秋冬必入款哦！颜色：黑色尺码：L -4Xl
            L肩宽46 胸围110 衣长67 袖长62 
            Xl肩宽47胸围114 衣长69 袖长64
            2Xl肩宽48胸围118 衣长71袖长66
            3Xl 肩宽49胸围122衣长73 袖长68
            4Xl肩宽59胸围125衣长75 袖长70","https://photo.yupoo.com/jiahuida/41272da7/small.png, https://photo.yupoo.com/jiahuida/71e12572/small.jpeg, https://photo.yupoo.com/jiahuida/d24d70af/small.jpeg, https://photo.yupoo.com/jiahuida/e667ec83/small.jpeg, https://photo.yupoo.com/jiahuida/70326eb3/small.jpeg, https://photo.yupoo.com/jiahuida/b95a260b/small.jpeg, https://photo.yupoo.com/jiahuida/2d2ca160/small.jpeg, https://photo.yupoo.com/jiahuida/e64c6d02/small.jpeg, https://photo.yupoo.com/jiahuida/ee531692/small.jpeg",https://jiahuida.x.yupoo.com/albums/74311548?uid=1
33038080 半高领户外双面绒卫衣长T,0,"穿上它发挥最佳运动竞技状态水平。不得不说 这次的货源确实牛叉。这种面料，市场货完全找不到。因为成本确实太高，能弄到完全属于意外收货！真正的内部渠道货！这一批出完就没有了
            所以各位看客 如果你看好了。请直接下手 千万别犹豫！珍惜来之不易的好货！
            颜色：黑色，灰色，蓝色
            尺码：M-3XL","https://photo.yupoo.com/jiahuida/d812359a/small.jpeg, https://photo.yupoo.com/jiahuida/e176b9cc/small.jpeg, https://photo.yupoo.com/jiahuida/78fe236b/small.jpeg, https://photo.yupoo.com/jiahuida/f0bb6dbe/small.jpeg, https://photo.yupoo.com/jiahuida/f2047053/small.jpeg, https://photo.yupoo.com/jiahuida/558fb294/small.jpeg, https://photo.yupoo.com/jiahuida/4096f64f/small.jpeg, https://photo.yupoo.com/jiahuida/cd56e306/small.jpeg, https://photo.yupoo.com/jiahuida/d704e66e/small.jpeg",https://jiahuida.x.yupoo.com/albums/74311544?uid=1
330370230 反光羽绒棉服夹克外套,0,"‼️后背3M进口环保反光纸激光压花，反光技术，真的很硬核！
            ‼️胸口3m反光条，手臂反光印花，
            ‼️内里羽绒棉填充，不是市面垃圾棉花货色，性价比和纯羽绒更高，保暖性强！
            ‼️内里填充经过棉线压实，上身有型不臃肿！
            ‼️全身开模，定制五金，细节满满，随意对比柜子！进口ykk5号拉链，刻字五金！
            颜色：黑绿橙
            尺码：M-XXL
                      M          L          XL        XXL
            胸围：110      116        120      124
            衣长：68        70         72        74","https://photo.yupoo.com/jiahuida/6e976527/small.png, https://photo.yupoo.com/jiahuida/e86a2d39/small.jpeg, https://photo.yupoo.com/jiahuida/bf5bca4a/small.jpeg, https://photo.yupoo.com/jiahuida/0371398e/small.jpeg, https://photo.yupoo.com/jiahuida/889b8787/small.jpeg, https://photo.yupoo.com/jiahuida/0e065463/small.jpeg, https://photo.yupoo.com/jiahuida/e33eb2b2/small.jpeg, https://photo.yupoo.com/jiahuida/58939c3d/small.jpeg, https://photo.yupoo.com/jiahuida/9ebc2e5b/small.jpeg, https://photo.yupoo.com/jiahuida/a8eb0e56/small.jpeg, https://photo.yupoo.com/jiahuida/b932aa37/small.jpeg, https://photo.yupoo.com/jiahuida/ca8500ab/small.jpeg, https://photo.yupoo.com/jiahuida/455a2374/small.jpeg, https://photo.yupoo.com/jiahuida/137c5699/small.jpeg, https://photo.yupoo.com/jiahuida/e751309b/small.jpeg, https://photo.yupoo.com/jiahuida/0e5e1d57/small.jpeg, https://photo.yupoo.com/jiahuida/658e4f16/small.jpeg, https://photo.yupoo.com/jiahuida/5a495410/small.jpeg, https://photo.yupoo.com/jiahuida/af56ed8d/small.jpeg",https://jiahuida.x.yupoo.com/albums/74311540?uid=1
330360160 拉链开衫连帽卫衣外套,0,"男女情侣款，客供面料辅料，精致做工，随意对比。
            颜色：灰色 黑色
            Size：M - XL
            M 胸围110 衣长69
             L 胸围114 衣长71
            XL胸围118 衣长73","https://photo.yupoo.com/jiahuida/8659a648/small.png, https://photo.yupoo.com/jiahuida/074628e0/small.jpeg, https://photo.yupoo.com/jiahuida/e3680f8d/small.jpeg, https://photo.yupoo.com/jiahuida/7d4a585e/small.jpeg, https://photo.yupoo.com/jiahuida/5ab97a4f/small.jpeg, https://photo.yupoo.com/jiahuida/bb3e80f1/small.jpeg, https://photo.yupoo.com/jiahuida/53b2e17d/small.jpeg, https://photo.yupoo.com/jiahuida/cea425f7/small.jpeg, https://photo.yupoo.com/jiahuida/1f136b59/small.jpeg, https://photo.yupoo.com/jiahuida/a3952831/small.jpeg, https://photo.yupoo.com/jiahuida/14e5c750/small.jpeg, https://photo.yupoo.com/jiahuida/bf131ef9/small.jpeg, https://photo.yupoo.com/jiahuida/ae91bdfd/small.jpeg, https://photo.yupoo.com/jiahuida/dc5647bd/small.jpeg, https://photo.yupoo.com/jiahuida/893273b7/small.jpeg",https://jiahuida.x.yupoo.com/albums/74311526?uid=1
330340160 羊羔毛宽松板双面穿情侣版外套,0,"标志性大logo横跨衣服背部袖子右侧！胸前精致刺绣logo！
            超级抗风，厚实保暖，御寒效果和棉服一样！天冷就应该穿得暖暖和和的！细密大颗粒羊羔绒 柔软舒服的里布内衬~贴身穿保暖又舒适 可以说是御寒神器！
            整个人看起来很有动感、这件穿上之后并不会很臃肿，
            而是有一种慵懒风，视觉效果真的很好 潮男潮女必备！
            颜色：黑/色 蓝色
            尺码: S-2XL","https://photo.yupoo.com/jiahuida/bbc2e942/small.jpeg, https://photo.yupoo.com/jiahuida/803491e6/small.jpeg, https://photo.yupoo.com/jiahuida/cc04517c/small.jpeg, https://photo.yupoo.com/jiahuida/313d2d02/small.jpeg, https://photo.yupoo.com/jiahuida/f5d21215/small.jpeg, https://photo.yupoo.com/jiahuida/6efbf369/small.jpeg, https://photo.yupoo.com/jiahuida/da0e8ae4/small.jpeg, https://photo.yupoo.com/jiahuida/92d42e7b/small.jpeg, https://photo.yupoo.com/jiahuida/6b0d41a4/small.jpeg",https://jiahuida.x.yupoo.com/albums/74311511?uid=1
330340105 加绒休闲束脚运动裤,0,"最大程度提供舒适度！收脚处也是松紧设计！
            面料采用纯客供高克重纯棉布，具有吸湿排汗的功能
            面料透气性强，手感柔软光滑，亲肤感强。
            内里精致水貂绒，舒适亲肤，炒鸡耐穿！
            做工更是666～一针一线不跳针，不断线，一根线头都难找，
            螺纹也是纯棉的，实物非常完美！自留款
            尺码：m-3XL","https://photo.yupoo.com/jiahuida/11790ec0/small.jpeg, https://photo.yupoo.com/jiahuida/3cd11363/small.jpeg, https://photo.yupoo.com/jiahuida/84085baa/small.jpeg, https://photo.yupoo.com/jiahuida/65be5fbb/small.jpeg, https://photo.yupoo.com/jiahuida/5707fcf5/small.jpeg, https://photo.yupoo.com/jiahuida/d02e5f76/small.jpeg, https://photo.yupoo.com/jiahuida/418f98e8/small.jpeg, https://photo.yupoo.com/jiahuida/bd48bde0/small.jpeg, https://photo.yupoo.com/jiahuida/8cbe848e/small.jpeg",https://jiahuida.x.yupoo.com/albums/74311499?uid=1
